0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
good : 19148,good : 893,good : 7380,good : 5263,good : 653,great : 5472,absolute best : 0
staff : 16289,staff : 672,staff : 6219,staff : 4107,great : 634,good : 4959,acceptable : 0
great : 16127,kyoto : 564,great : 5616,great : 3857,staff : 553,staff : 4738,acceptable access : 0
location : 11838,great : 546,location : 4454,location : 3464,nice : 468,nice : 3626,acceptable breakfast : 0
nice : 11615,location : 529,nice : 4387,clean : 2736,location : 452,location : 2939,acceptable buffet : 0
clean : 9064,clean : 515,clean : 3798,nice : 2656,clean : 336,excellent : 2048,acceptable cleanliness : 0
helpful : 5846,nice : 478,kyoto : 2837,shopping : 1623,shopping : 304,clean : 1679,acceptable condition : 0
excellent : 5661,train : 321,helpful : 2246,helpful : 1528,osaka : 292,helpful : 1615,acceptable distance : 0
comfortable : 5625,comfortable : 281,comfortable : 2200,friendly : 1478,train : 257,large : 1523,acceptable english : 0
friendly : 5606,shopping : 258,friendly : 2192,train : 1468,comfortable : 238,comfortable : 1479,acceptable everything : 0
shopping : 5071,friendly : 245,subway : 2131,comfortable : 1427,excellent : 231,friendly : 1478,acceptable food : 0
train : 5011,helpful : 241,excellent : 1933,airport : 1331,helpful : 216,shinjuku : 1254,acceptable hotel : 0
subway : 4686,large : 228,shopping : 1913,shinjuku : 1305,friendly : 211,subway : 1248,acceptable level : 0
free : 4318,new : 200,free : 1846,excellent : 1276,large : 180,free : 1223,acceptable price : 0
large : 4104,convenient : 198,train : 1799,convenient : 1233,convenient : 173,train : 1166,acceptable quality : 0
convenient : 3991,clean room : 195,walking : 1581,clean room : 1155,recommend : 172,beautiful : 1132,acceptable rate : 0
walking : 3936,walking : 194,friendly staff : 1546,subway : 1080,airport : 160,shuttle : 1126,acceptable room : 0
kyoto : 3857,friendly staff : 192,recommend : 1467,friendly staff : 1031,floor : 160,recommend : 1075,acceptable service : 0
recommend : 3833,recommend : 191,osaka : 1456,easy : 1029,clean room : 152,airport : 1072,acceptable size : 0
friendly staff : 3819,excellent : 173,convenient : 1443,walking : 1018,walking : 150,walking : 993,acceptable space : 0
easy : 3668,experience : 148,large : 1424,free : 969,easy : 139,floor : 987,acceptable speed : 0
clean room : 3596,jr : 146,clean room : 1418,recommend : 928,free : 138,shopping : 973,acceptable spread : 0
airport : 3297,subway : 146,easy : 1405,helpful staff : 862,friendly staff : 134,easy : 962,acceptable standard : 0
best : 3111,free : 142,best : 1229,jr : 789,jr : 128,convenient : 944,acceptable thing : 0
helpful staff : 2927,spacious : 140,helpful staff : 1135,large : 749,front : 127,lounge : 943,acceptable time : 0
beautiful : 2716,easy : 133,new : 1090,best : 720,plenty : 119,best : 940,acceptable variety : 0
floor : 2677,helpful staff : 126,beautiful : 1052,great location : 718,best : 118,spacious : 939,acceptable wifi : 0
shinjuku : 2624,enjoyed : 119,everything : 1044,front : 693,lovely : 110,wonderful : 924,accessible : 0
everything : 2618,gion : 116,enjoyed : 1014,floor : 643,everything : 108,friendly staff : 916,accessible hotel : 0
osaka : 2607,front : 115,front : 1011,plenty : 642,store : 106,enjoyed : 825,accessible line : 0
enjoyed : 2550,street : 115,jr : 900,everything : 632,helpful staff : 105,lovely : 762,accessible location : 0
front : 2540,distance : 114,distance : 895,convenience : 627,spacious : 103,tower : 726,accessible place : 0
spacious : 2521,good location : 114,lovely : 857,good location : 608,convenience : 101,everything : 725,accessible restaurant : 0
jr : 2450,everything : 109,spacious : 857,metro : 563,beautiful : 89,helpful staff : 699,accessible room : 0
new : 2377,great location : 107,experience : 832,distance : 559,perfect : 88,experience : 679,accessible station : 0
