0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
good : 19148,best : 2,good : 892,good : 7380,good : 5263,good : 653,good : 3272,great : 1161,great : 1222,absolute best : 0
staff : 16289,absolute best : 0,staff : 671,staff : 6219,staff : 4107,great : 634,great : 3089,staff : 1036,staff : 914,acceptable : 0
great : 16127,acceptable : 0,great : 546,great : 5616,great : 3857,staff : 553,staff : 2788,good : 947,good : 740,acceptable access : 0
location : 11838,acceptable access : 0,location : 529,location : 4454,location : 3464,nice : 468,nice : 2136,nice : 824,nice : 666,acceptable breakfast : 0
nice : 11615,acceptable breakfast : 0,clean : 515,nice : 4387,clean : 2736,location : 452,location : 1692,location : 706,location : 541,acceptable buffet : 0
clean : 9064,acceptable buffet : 0,nice : 478,clean : 3798,nice : 2656,clean : 336,clean : 1185,excellent : 448,excellent : 499,acceptable cleanliness : 0
helpful : 5846,acceptable cleanliness : 0,train : 321,helpful : 2246,shopping : 1623,shopping : 304,excellent : 1101,large : 406,beautiful : 337,acceptable condition : 0
excellent : 5661,acceptable condition : 0,comfortable : 280,comfortable : 2200,helpful : 1528,osaka : 292,shuttle : 1010,train : 395,large : 303,acceptable distance : 0
comfortable : 5625,acceptable distance : 0,shopping : 258,friendly : 2192,friendly : 1478,train : 257,helpful : 998,helpful : 358,subway : 289,acceptable english : 0
friendly : 5606,acceptable english : 0,friendly : 245,subway : 2131,train : 1468,comfortable : 238,friendly : 911,comfortable : 350,wonderful : 288,acceptable everything : 0
shopping : 5071,acceptable everything : 0,helpful : 240,excellent : 1933,comfortable : 1427,excellent : 231,free : 895,beautiful : 348,best : 266,acceptable food : 0
train : 5011,acceptable food : 0,large : 228,shopping : 1913,airport : 1331,helpful : 216,comfortable : 894,clean : 330,friendly : 266,acceptable hotel : 0
subway : 4686,acceptable hotel : 0,new : 200,free : 1846,excellent : 1276,friendly : 211,airport : 858,imperial : 303,helpful : 259,acceptable level : 0
free : 4318,acceptable level : 0,convenient : 198,train : 1799,convenient : 1233,large : 180,large : 814,friendly : 301,bay : 254,acceptable price : 0
large : 4104,acceptable price : 0,clean room : 195,walking : 1581,clean room : 1155,convenient : 173,subway : 750,recommend : 254,recommend : 240,acceptable quality : 0
convenient : 3991,acceptable quality : 0,walking : 194,friendly staff : 1546,subway : 1080,recommend : 172,train : 654,wonderful : 247,amazing : 239,acceptable rate : 0
walking : 3936,acceptable rate : 0,friendly staff : 192,recommend : 1467,friendly staff : 1031,airport : 160,convenient : 612,best : 242,comfortable : 235,acceptable room : 0
recommend : 3833,acceptable room : 0,recommend : 191,osaka : 1456,easy : 1029,floor : 160,friendly staff : 602,shopping : 241,floor : 231,acceptable service : 0
friendly staff : 3819,acceptable service : 0,excellent : 173,convenient : 1443,walking : 1018,clean room : 152,lounge : 601,walking : 237,lounge : 230,acceptable size : 0
easy : 3668,acceptable size : 0,experience : 148,large : 1424,free : 969,walking : 150,floor : 594,lovely : 214,palace : 199,acceptable space : 0
clean room : 3596,acceptable space : 0,jr : 146,clean room : 1418,recommend : 928,easy : 139,shopping : 592,subway : 209,spacious : 195,acceptable speed : 0
airport : 3297,acceptable speed : 0,subway : 146,easy : 1405,helpful staff : 862,free : 138,easy : 587,spacious : 203,enjoyed : 190,acceptable spread : 0
best : 3111,acceptable spread : 0,free : 142,best : 1229,jr : 789,friendly staff : 134,recommend : 581,convenient : 202,walking : 189,acceptable standard : 0
helpful staff : 2927,acceptable standard : 0,spacious : 140,helpful staff : 1135,large : 749,jr : 128,walking : 567,easy : 197,everything : 183,acceptable time : 0
beautiful : 2716,acceptable time : 0,easy : 133,new : 1090,best : 720,front : 127,spacious : 541,enjoyed : 187,easy : 178,acceptable variety : 0
floor : 2677,acceptable variety : 0,helpful staff : 125,beautiful : 1052,great location : 718,plenty : 119,clean room : 492,friendly staff : 176,fantastic : 176,acceptable wifi : 0
everything : 2618,acceptable wifi : 0,enjoyed : 118,everything : 1044,front : 693,best : 118,tower : 460,perfect : 172,pool : 175,accessible : 0
osaka : 2607,accessible : 0,gion : 116,enjoyed : 1014,floor : 643,lovely : 110,enjoyed : 448,tower : 172,ginza : 171,accessible hotel : 0
enjoyed : 2550,accessible hotel : 0,front : 115,front : 1011,plenty : 642,everything : 108,beautiful : 447,large room : 169,executive : 169,accessible line : 0
front : 2540,accessible line : 0,street : 115,jr : 900,everything : 632,store : 106,helpful staff : 447,ebisu : 168,free : 167,accessible location : 0
